1038.4615384615386	1038.4615384615386	3e3	3e3
1038.4615384615386	1038.4615384615386	5700	5700
4800	4800	5700	5700
5580	5580	6e3	6e3
5580	5580	6e3	6e3
9256.892307692306	9256.892307692306	6463.292307692305	6463.292307692305
14458.892307692306	14458.892307692306	12093.692307692305	12093.692307692305
18987.692307692305	18987.692307692305	17907.692307692305	17907.692307692305
18987.692307692305	18987.692307692305	17907.692307692305	17907.692307692305
18987.692307692305	18987.692307692305	17907.692307692305	17907.692307692305
11880	11880	9138.461538461539	9138.461538461539
4680	4680	3600	3600
4680	4680	3600	3600
4500	4500	3600	3600
4500	4500	3600	3600
