st_X,st_Y,RUTA,TIPO,LONGITUD,spjoin_rif
-84.61729918,10.01458413,1,PRIMARIA,48.75,0
-84.61800908,10.01271221,1,PRIMARIA,48.75,0
-84.61843521,10.01003551,1,PRIMARIA,48.75,0
-84.61849643,10.00703395,1,PRIMARIA,48.75,0
-84.61842183,10.00530711,1,PRIMARIA,48.75,0
-84.61845669,10.00377934,1,PRIMARIA,48.75,0
-84.61899432,10.00300136,1,PRIMARIA,48.75,0
-84.62048948,10.00243949,1,PRIMARIA,48.75,0
-84.62142011,10.00243865,1,PRIMARIA,48.75,0
-84.62619159,10.00398929,1,PRIMARIA,48.75,0
-84.62729616,10.00472961,1,PRIMARIA,48.75,0
-84.62946739,10.00550509,1,PRIMARIA,48.75,0
-84.63284157,10.00453444,1,PRIMARIA,48.75,0
-84.63861312,10.00282931,1,PRIMARIA,48.75,0
-84.63992638,10.00271956,1,PRIMARIA,48.75,0
-84.64169534,10.00204884,1,PRIMARIA,48.75,0
-84.64642762,10.00057045,1,PRIMARIA,48.75,0
-84.64698391,10.00039826,1,PRIMARIA,48.75,0
-84.64844291,9.999999029,1,PRIMARIA,48.75,0
-84.65837772,9.997127319,1,PRIMARIA,48.75,0
-84.65989703,9.996640535,1,PRIMARIA,48.75,0
-84.66209311,9.996122009,1,PRIMARIA,48.75,0
-84.66360074,9.995558036,1,PRIMARIA,48.75,0
-84.66473952,9.995252977,1,PRIMARIA,48.75,0
-84.66823916,9.995500831,1,PRIMARIA,48.75,0
-84.67113649,9.995711236,1,PRIMARIA,48.75,0
-84.67277711,9.996131028,1,PRIMARIA,48.75,0
-84.67326304,9.997037006,1,PRIMARIA,48.75,0
-84.67368831,9.998184583,1,PRIMARIA,48.75,0
-84.67490331,9.998968065,1,PRIMARIA,48.75,0
-84.67575903,9.999545749,1,PRIMARIA,48.75,0
-84.6755139,10.00056775,1,PRIMARIA,48.75,0
-84.67555147,10.00130904,1,PRIMARIA,48.75,0
-84.67597177,10.00204992,1,PRIMARIA,48.75,0
-84.67665596,10.00232958,1,PRIMARIA,48.75,0
-84.67850735,10.00204718,1,PRIMARIA,48.75,0
-84.68006611,10.00126799,1,PRIMARIA,48.75,0
-84.6813513,10.0003895,1,PRIMARIA,48.75,0
-84.68305699,10.0004238,1,PRIMARIA,48.75,0
-84.6835945,10.0001339,1,PRIMARIA,48.75,0
-84.68398608,9.999500624,1,PRIMARIA,48.75,0
-84.68462394,9.998887852,1,PRIMARIA,48.75,0
-84.68535337,9.998644432,1,PRIMARIA,48.75,0
-84.68602135,9.998401078,1,PRIMARIA,48.75,0
-84.68687227,9.998278421,1,PRIMARIA,48.75,0
-84.68820855,9.998517658,1,PRIMARIA,48.75,0
-84.68990968,9.998090709,1,PRIMARIA,48.75,0
-84.69148958,9.997785329,1,PRIMARIA,48.75,0
-84.69470951,9.997355291,1,PRIMARIA,48.75,0
-84.6971396,9.996745581,1,PRIMARIA,48.75,0
-84.69884099,9.9961375,1,PRIMARIA,48.75,0
-84.70011671,9.995832427,1,PRIMARIA,48.75,0
-84.70139271,9.995769422,1,PRIMARIA,48.75,0
-84.70266828,9.995343436,1,PRIMARIA,48.75,0
